;;;;;;;;;
Для подсоединения цифровых устройств доступны 1 коаксиальный и 2 оптических входа, с воспроизведением Hi-res Audio (до 192 кГц /24 бит PCM) через передовую схему PM6006. Вся цифровая секция полностью экранирована и размещена в отдельном металлическом корпусе, чтобы исключить влияние цифровых помех на аналоговый сигнал.

^;719;719
;Усилители мощности;Усилитель мощности PM7005 ;Marantz;PM7005 ;50;Интегральный стереоусилитель Marantz PM7005 Silver Gold;^Интегральный стереоусилитель Marantz PM7005 Silver Gold сочетает в себе новейшие цифровые аудиотехнологии и классические Hi-Fi-решения фирмы. Аппарат изготовлен в металлическом корпусе с толстой фрезерованной передней панелью, выполненной в строгом симметричном дизайне. По краям расположены селекторы входов и регулятор громкости, а по центру находятся ручки управления тембром в области низких и высоких частот и стереобаланса. Также здесь имеются несколько кнопок для включения основных режимов, светодиодные индикаторы выбранного источника сигнала и 6,3-мм разъем для подключения стереотелефонов.

Звуковая часть Marantz PM 7005 Silver Gold выполнена полностью на дискретных элементах (в том числе с использованием компонентов аудиофильского класса) и модулях HDAM с токовой обратной связью. Топология печатных плат обоих каналов полностью симметрична, что обеспечивает хорошую стереокартину и минимальный разбаланс их характеристик. Усилитель развивает мощность 2 х 60 Вт при нагрузке 8 Ом, а для охлаждения выходных транзисторов используются массивные алюминиевые радиаторы. Блок питания Marantz PM7005 построен на базе экранированного трансформатора избыточной мощности, а его выпрямителях установлены быстродействующие диоды Шоттки.

Marantz PM 7005 Silver Gold имеет четыре линейных входов, а также встроенный фонокорректор для MM-звукоснимателя, обладающий весьма высокими параметрами. Интересной особенностью данной модели, которая наверняка понравится многим меломанам, является наличие встроенного цифро-аналогового преобразователя. Marantz PM7005 имеет оптический и коаксиальный выходы, а также разъем USB для подключения к ПК. ЦАП усилителя построен на базе микросхемы CS4398 и способен принимать цифровой поток с параметрами до 24 бит / 192 кГц, а также (по USB-входу) DSD данные (2,8 МГц и 5,6 МГц). На выходе ЦАП-а установлен модуль HDAM-SA3, который обеспечивает точное согласования с усилительной частью аппарата. В случае использования Marantz PM7005 только с аналоговыми источниками все цифровые схемы можно отключить, что обеспечит полное отсутствие искажений и перекрестных помех.

Особенности^;1101;1101
;Усилители мощности;Усилитель мощности PM8005 ;Marantz;PM8005 ;50;Интегрированный усилитель с токовой обратной связью;^Интегрированный усилитель с токовой обратной связью, выполненный полностью на дискретных элементах, идеален для аудиофилов, которые стремятся получить превосходное качество музыки наряду с гибкостью в работе. Усилитель обеспечивает выходную мощность 2x70 Вт на 8 Ом, а симметричные схемы отвечают за идеальный баланс звуковых образов. 

Чтобы гарантировать уникальное звучание, конструкторы Marantz оптимизировали каскады усиления мощности и изменили конструкцию дважды экранированного тороидального трансформатора, с целью обеспечить полную отдачу по току в широком диапазоне частот. В результате создан усилитель с токовой обратной связью, обладающий достаточным запасом энергии для беспроблемной работы даже с самыми капризными акустическими системами. Дополнительные гарантии максимального качества звука в PM8005 обеспечиваются фирменными модулями HDAM SA3 с токовой обратной связью, а также массивной трехслойной пластиной в самом низу шасси, которая подавляет вибрации. 
В PM8005 предусмотрен режим обхода схем регулировки тембра, обеспечивающий максимальную чистоту аудиосигнала, а также вход Phono MM для воспроизведения записей на виниле. В результате звучание PM8005 - это просто непередаваемое наслаждение.^;1 447;1 447
Мини кин.;Полочная;Полочная система Mini Theatre;B&W;M1;50; Сателлитная универсальность M-1 от компании B&W;Колонки M-1 можно использовать сами по себе, с сабвуфером в 2.1-канальной системе или как часть одного из наших Мини Театров.;335;335
;Сабвуфер ;Активный сабвуфер Mini Theatre;B&W;PV1D;50;Сабвуфер от Bowers & Wilkins серии PV1D;PV1 долгое время считался образцом среди домашних сабвуферов, благодаря его поразительной форме и великолепному звучанию. Но с приходом нового – цифрового измерения в обновленный PV1D, мы полагаем, что нам удалось сделать еще один шаг вперед. Присущая PV1D внутренняя устойчивость позволяет нагрузить его больше, чем обычные сабвуферы. Оппозитная установка двух басовых драйверов делает его идеально сбалансированным и привязанным к полу. Поэтому он не дергается и не вибрирует на мощных басовых ударах. Оппозитное расположение динамиков помогает также правильно распределить давление внутри корпуса. Подключенные на выход усилителя мощностью 400 Вт, басовые драйверы обеспечивают такую динамику и контроль, какую и следует ожидать от мощного сабвуфера. Большой звук из небольшого «шарика». Приняв цифровую платформу, разработанную для флагманского сабвуфера DB1, PV1D обрел возможность тонкой настройки и управления с гораздо большей точностью, чем у его предшественника. Вам нравятся пробирающие до печенок глубочайшие басы или же специальные звуковые эффекты в фильмах? А может быть, вы предпочитаете более ровный отклик, чтобы скомпенсировать влияние чересчур резонирующей комнаты прослушивания? Вне зависимости от ваших слуховых предпочтений, полный диапазон возможностей и вариантов эквализации EQ к вашим услугам, и выбор остается целиком за вами.;1845;1845
;Акустические стойки;Стойки для акустических систем;B&W;M1 stand;50;Стойки BW Mini Theatre Bowers Wilkins M1 Stand;^Стойки для акустических систем B&W специально разработаны для полочной акустики B&W FS-M 1, но также подходят для других колонок подобного размера. Конструкция разработана с учетом правильной высоты АС от пола и имеет устойчивое основание для стабильной установки акустических систем.
 ^;200;200
;Комплект 5.1;Комплект акустики Mini Theatre;B&W;MT50;50;Акустическая система 5.1 Mini Theatre от компании B&W;В домашнем театре MT-50 используются M-1 и невероятно компактный, но все еще мощный сабвуфер ASW608 - для великолепного окружающего звука.Когда все составные элементы фильма - актеры, диалоги, сюжет – сливаются без лишних усилий в единое целое, вы сразу чувствуете, что вас ждут великолепные впечатления. То же самое справедливо и для нашей серии Мини-Театров. Звучание колонок-сателлитов и сабвуфера стыкуется настолько бесшовно, что отдельные колонки, кажется, исчезают, оставляя вас наедине с самым вовлекающим в действие на экране звуком.;2115;2115
;Комплект 5.1;Комплект акустики Mini Theatre;B&W;MT60D;50;Акустическая система 5.1 Mini Theatre B&W MT-60D;Если вы ищете бескомпромиссный кино звук, который легко войдет в вашу жизнь, считайте, что вы его уже нашли - это флагманский Mini Theatre. В MT-60D сателлиты M-1 объединились с потрясающей мощью сабвуфера PV1D, чтобы создать обволакивающий окружающий звук, не отпускающий вас вплоть до финальной сцены.;3462;3462
;Подвесная АС ;Подвесная акустика AM 1;B&W;AM 1;50;Подвесная всепогодная акустика от компании B&W;В 2-полосной AM-1, твитер с 25-мм алюминиевым куполом установлен не над, а под НЧ/СЧ-динамиком с 127-мм стекловолоконным диффузором. Это обеспечивает оптимальную дисперсию звука при монтаже акустической системы высоко на стене. Низкочастотный отклик AM-1 усилен дополнительным пассивным радиатором на ее задней стенке. Применение пассивного радиатора вместо обычного фазоинвертора обеспечило AM-1 исключительно весомый бас для корпуса таких малых размеров. Отсутствие порта придает также герметичность всей конструкции AM-1. Сочетание совершенных динамиков, их необычной конфигурации и классически простых компонентов кроссовера позволило создать музыкальную и гибкую в применении АС. Конструкция AM-1 тщательно продумана с точки зрения легкости и гибкости установки. Созданная для горизонтального либо вертикального подвеса, AM-1 оснащена прочным корпусом из полимера со стеклом, и нержавеющим алюминиевым грилем, что обеспечивает лучшую в своем классе стойкость к экстремальным условиям – влажности, запыленности и УФ-излучению. Все эти преимущества очевидны на улице, а неприметная внешность и впечатляющее звучание способствуют их применению и внутри дома. ;338;338
;Полочная;Полочная система 686 S2;B&W;686 S2;50;Полочная система от компании B&W серии 686 S2;686 S2 - идеальная полочная или настенная АС, сконструированная так, чтобы уместиться в любом пространстве и при этом все еще замечательно звучать. Ее 5-дюймовый динамик имеет 25-мм звуковую катушку – для более высокой чувствительности, а бас рассчитан на установку вплотную к стене.Несмотря на малый размер, 686 S2, как и остальные АС, имеет твитер с двухслойным куполом и механической развязкой для превосходного отклика на верхах. У АС 686 S2 есть даже встроенная скоба для облегчения монтажа на стену, хотя эта компактная, универсальная и точная колонка великолепно звучит в любом месте.;499;499
;Акустические стойки;Стойки для акустических систем;B&W;STAV 24 S2;50;Стойки для колонок B&W Stav24;Подставки для акустических систем B&W 685, 686. Стойки для акустических систем B&W STAV24 S2 специально разработаны для полочной акустики B&W 600-й серии. Их конструкция разработана с учетом правильной высоты АС от пола. Стойки имеют массивное основание и выполнены из высокопрочной стали. В каждой стойке предусмотрен канал для прокладки кабеля;119;119
;Напольная ;Напольная акустика CM10 S2;B&W;CM10 S2;50;Напольная акустическая система B&W CM10 S2;Модель в своей серии и предназначена для работы в больших помещениях в стереокомплектах или домашних кинотеатрах высокого класса. Колонки отличаются очень высоким качеством изготовления и отделки и комплектуются защитными сетками с невидимыми магнитными фиксаторами. Отличительной особенностью данной колонки (как и полочной CM6 S2) является смонтированный в изолированной камере на верхней панели ВЧ-динамик. Такое решение позволило создать оптимальные условия для его работы, изолировав от вибраций со стороны остальных излучателей. Твитер имеет комбинированный двойной алюминиевый купол Double Dome, обладающий высокой жесткостью и обеспечивающий воспроизведение звука в широком диапазоне частот с минимальными искажениями. Колонки B&W CM10 S2 имеют трехполосную конфигурацию. Среднечастотный динамик имеет диаметр 150 мм и кевларовый диффузор FST, закрепленный на корзине без подвеса. Излучатель оснащен фазовыравнивающим колпачком и обладает практически линейной характеристикой в своем диапазоне частот. Три 165-мм басовика имеют диффузоры из усиленной кевларом бумаги и точно согласованы между собой. Благодаря мощным магнитам и звуковым катушкам увеличенного диаметра динамики воспроизводят проработанные и сфокусированные басы в широком диапазоне частот (от 45 Гц по уровню - 3 дБ). Низкочастотники нагружены на фирменный фазоинвертор Flowport, выходное отверстие которого выведено на заднюю панель АС. Это обстоятельство необходимо учитывать при выборе места в комнате для размещения колонок. Корпуса B&W CM10 S2 имеют глубокое внутреннее демпфирование и оснащены массивным основанием, повышающим устойчивость колонок. Внутренняя начинка B&W CM10 S2 имеет минималистичный разделительный фильтр, выполненный на базе компонентов аудиофильского класса (в том числе конденсаторов Mundorf) и обладающий минимальными фазочастотными искажениями. Внутренняя проводка в колонках выполнена кабелем Van den Hul, а для подключения к усилителю предусмотрено две пары винтовых клемм.;5385;5385
;Напольная ;Напольная акустика CM9 S2;B&W;CM9 S2;50;Напольная акустическая система B&W CM9 S2;B&W CM9 S2 оборудованы ВЧ-динамиком с двойным куполом Double Dome, в котором для повышения жесткости и гашения резонансов основной мембраны используется дополнительное алюминиевое кольцо. Твитер нагружен на суживающуюся трубку Nautilus, которая гасит обратные звуковые волны и делает звучание на ВЧ прозрачным и детализированным. Среднечастотный динамик оснащен диффузором диаметром 150 мм из тканного кевлара, имеющим FST-крепление к корзине (без подвеса). Ниже СЧ-динамика на передней панели расположены два басовика с бумажно-кевларовыми диффузорами диаметром 165 мм. Колонки обеспечивают воспроизведение низких частот в помещении, начиная со значения 46 Гц (по уровню - 3 дБ), что является очень хорошим показателем для АС таких размеров.;3885;3885
;Напольная ;Напольная акустика CM8 S2;B&W;CM8 S2;50;Напольная акустическая система CM8 S2  CM8 S2;^Напольные акустические системы B&W CM8 S2 имеют сравнительно небольшие размеры и узкую переднюю панель, благодаря чему хорошо вписываются в любой жилой интерьер. Изящный облик колонки обеспечивает алюминиевая окантовка динамиков, скрывающая их монтажные элементы, а также магнитная фиксация защитных сеток.
B&W CM8 S2 имеют трехполосную конфигурацию, благодаря чему обладают нейтральным и артикулированным среднечастотным диапазоном. Высокочастотная головка выполнена по запатентованной конструкции Double Dome и оснащена комбинированной диафрагмой с дополнительным алюминиевым кольцом, увеличивающим ее жесткость. Подобный твитер обладает расширенным диапазоном воспроизводимых частот по сравнению с традиционным, а также обеспечивает высокую детальность звука. Пищалка нагружена на суживающуюся трубку Nautilus - еще одно фирменное решение B&W, позволяющее минимизировать уровень искажений на высоких частотах.
Имея корпус шириной всего 165 мм, CM8 S2 подойдет для любой комнаты. А благодаря скрытным креплениям и минималистской защитной решетке с магнитным креплением, CM8 S2 выглядит стильно, утонченно и практично.
Ключ к тонкому профилю – два 130-мм басовых драйвера и 130-мм FST СЧ-динамик с кевларовыми диффузорами. В FST динамике фиксированный подвес - для более быстрого отклика и улучшенной точности звучания во всем СЧ диапазоне.
Разумеется, CM8 S2 сконструирована не просто для получения нужной мощности в заданном форм-факторе. Благодаря FST СЧ-динамику и твитеру с двойным куполом и механической развязкой от корпуса, CM8 S2 способна выдать прецизионный аудио отклик.
^;2190;2190
